dap,lnrr,plant_group,ecosystem,group_n
48,0.18,Grass,upland,170
48,-0.14,Grass,upland,170
48,0.23,Grass,upland,170
69,0.67,Grass,upland,170
69,0.41,Grass,upland,170
69,1.2,Grass,upland,170
88,1.2,Grass,upland,170
88,0.88,Grass,upland,170
88,1.44,Grass,upland,170
14,0.35,Legume,upland,109
14,0.45,Legume,upland,109
35,0.69,Legume,upland,109
35,0.83,Legume,upland,109
83,0.35,Grass,upland,170
83,0.65,Grass,upland,170
83,0.77,Grass,upland,170
83,0.72,Grass,upland,170
83,0.48,Forb,upland,74
83,0.87,Forb,upland,74
83,0.84,Forb,upland,74
83,0.74,Forb,upland,74
83,0.69,Legume,upland,109
83,0.98,Legume,upland,109
83,0.73,Legume,upland,109
83,1.1,Legume,upland,109
251,0.24,Grass,upland,170
251,0.47,Grass,upland,170
251,0.51,Grass,upland,170
251,0.34,Grass,upland,170
251,0.51,Forb,upland,74
251,0.59,Forb,upland,74
251,0.62,Forb,upland,74
251,0.59,Forb,upland,74
251,0.79,Legume,upland,109
251,1.08,Legume,upland,109
251,0.9,Legume,upland,109
251,1.352,Legume,upland,109
90,-0.01,Legume,upland,109
90,0.03,Legume,upland,109
90,0.04,Forb,upland,74
90,0.09,Forb,upland,74
90,0.08,Forb,upland,74
90,0.08,Forb,upland,74
90,0.12,Grass,upland,170
90,0.59,Grass,upland,170
90,0.14,Grass,upland,170
90,0.09,Grass,upland,170
90,0.19,Grass,upland,170
90,0.09,Grass,upland,170
85,0.98,Grass,upland,170
85,0.76,Grass,upland,170
85,0.53,Grass,upland,170
74,1.2,Grass,upland,170
74,1.16,Grass,upland,170
74,0.91,Grass,upland,170
74,0.99,Grass,upland,170
74,1.07,Grass,upland,170
105,0,Legume,upland,109
120,0.85,Legume,upland,109
180,0.41,Legume,upland,109
105,-0.05,Tree,upland,81
120,0.24,Tree,upland,81
180,0.65,Tree,upland,81
105,0.36,Legume,upland,109
120,0.33,Legume,upland,109
180,0.15,Legume,upland,109
105,0.21,Tree,upland,81
120,-0.18,Tree,upland,81
180,0.48,Tree,upland,81
180,0.13,Tree,upland,81
180,0.19,Tree,upland,81
65,-0.1,Tree,upland,81
65,-0.21,Tree,upland,81
65,0.12,Tree,upland,81
65,0.38,Tree,upland,81
180,0.36,Tree,upland,81
180,0.36,Tree,upland,81
180,0.19,Tree,upland,81
180,-0.27,Tree,upland,81
180,-0.39,Tree,upland,81
180,-0.22,Tree,upland,81
88,0.52,Grass,upland,170
88,-0.23,Grass,upland,170
88,1.26,Grass,upland,170
88,0.5,Grass,upland,170
88,-0.16,Legume,upland,109
88,-0.09,Legume,upland,109
88,0.94,Legume,upland,109
88,0.5,Legume,upland,109
78,0.2,Grass,upland,170
78,0.14,Grass,upland,170
78,0.51,Legume,upland,109
428,0.69,Grass,upland,170
428,1.2,Grass,upland,170
428,1.32,Legume,upland,109
476,0.93,Grass,upland,170
476,1.24,Grass,upland,170
476,1.36,Legume,upland,109
30,0.41,Grass,upland,170
30,0.27,Grass,upland,170
30,0,Legume,upland,109
30,0.06,Legume,upland,109
44,0.29,Grass,upland,170
44,0.1,Grass,upland,170
44,0.39,Legume,upland,109
44,0.44,Legume,upland,109
58,0.23,Grass,upland,170
58,0.04,Grass,upland,170
58,0.87,Legume,upland,109
58,0.71,Legume,upland,109
180,0.33,Grass,upland,170
180,0.69,Grass,upland,170
180,1.12,Legume,upland,109
180,0.84,Legume,upland,109
270,0.49,Grass,upland,170
270,0.64,Grass,upland,170
270,0.81,Legume,upland,109
270,1.22,Legume,upland,109
43,0.43,Grass,upland,170
50,0.24,Grass,upland,170
43,1.23,Grass,upland,170
50,1.7,Grass,upland,170
43,-0.24,Grass,upland,170
50,-0.07,Grass,upland,170
43,0.56,Grass,upland,170
50,0.37,Grass,upland,170
43,0.35,Forb,upland,74
