rec_id,gas,change_type,experiment_type,experiment_type_notes,date,location,lat,long,elevation,site_type,vegetation,mat,map,soil_type,soil_bd,soil_c,soil_n,soil_p_h,soil_p_h_notes,rainfall,t_incubation,t_soil_pre,t_soil_post,sm_pre,sm_post,sm_change,flux_pre_raw,flux_post_raw,flux_pre,flux_post,flux_units,conversion,flux_pre_norm,flux_post_norm,flux_norm_units,flux_change,flux_change_notes,cumulative_flux_during_peak,peak_lag,duration,annual_budget_contrib,surplus_emissions,notes,ref_short,ref_long,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,log_response_ratio
7,CH4,Rewetting,Field,NA,NA,"Raftery’s Swamp, Goulburn River, Victoria, Australia",-36.45,145.367,NA,ephemeral wetland,"forests: Eucalyptus camaldulensis Dehnh. Aquatic vegetation: Amphibromus fluvitans R.Br., Eleocharis acuta R.Br., Myriophyllum spp., Potamogeton crispus L.,Potamogeton tricarinatus F. Muell & A. Benn. ex. A. Benn and Triglochin procerum R.Br.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,< 0.3 mmol m-2 h-1,1.7 +/- 0.05 mmol m-2 h-1,0.3,1.7,mmol CH4/m2/hr,16,4.8,27.2,mg gas/m2/hr,467,466.6666667,NA,NA,NA,NA,NA,NA,Boon et al. 1997,"Boon, P.I., Mitchell, A., Lee, K., 1997. Effects of wetting and drying on methane emissions from ephemeral floodplain wetlands in south-eastern Australia. Hydrobiologia 357, 73-87.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7346010553881064
8,CH4,Rewetting,Field,NA,NA,"Ryans Bog, River Murray and Kiewa River, AlburyWodonga, Victoria, Australia",NA,NA,NA,ephemeral wetland,"Callitriche stagnalis Scop., Juncus usitatus L.A.S. Johnson, Ludwigia peploides (Knuth)Raven,Myriophyllum papillosumOrch., Lemna sp. and Paspalum distichum Poir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,< 0.3 mmol m-2 h-1,2.3 +/- 0.8 mmol m-2 h-1,0.3,2.3,mmol CH4/m2/hr,16,4.8,36.8,mg gas/m2/hr,667,666.6666667,NA,1080,NA,NA,NA,NA,Boon et al. 1997,"Boon, P.I., Mitchell, A., Lee, K., 1997. Effects of wetting and drying on methane emissions from ephemeral floodplain wetlands in south-eastern Australia. Hydrobiologia 357, 73-87.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03688192726104
9,CH4,Rewetting,Field,NA,NA,"Ryans 5 Billabong, River Murray and Kiewa River, AlburyWodonga, Victoria, Australia",NA,NA,NA,ephemeral wetland,"Callitriche stagnalis, Juncus ingens N.A. Wakef. and Ricciocarpus natans (L.) Corda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,< 0.05 mmol m-2 h-1,0.19 +/- 0.03 mmol m-2 h-1,0.05,0.19,mmol CH4/m2/hr,16,0.8,3.04,mg gas/m2/hr,280,280,NA,34,NA,NA,NA,NA,Boon et al. 1997,"Boon, P.I., Mitchell, A., Lee, K., 1997. Effects of wetting and drying on methane emissions from ephemeral floodplain wetlands in south-eastern Australia. Hydrobiologia 357, 73-87.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33500106673234
18,CO2,Rewetting,Field,NA,NA,"The Sycamore Creek watershed in the Mazatzal Mountains, Phoenix, AZ",NA,NA,NA,Desert (beneath plants),Velvet mesquite (Prosopis velutina),NA,450,Sandy loam,1.4,8.2,0.45,NA,NA,"0.2, 0.5, 1.0, 2.0, and 4.0cm",NA,NA,NA,0.014,5.6% to 17.3%,NA,0.01 g CO2 m-2 h-1,0.43 to 2.2 g CO2 m-2 h-1,0.01,1.315,g CO2/m2/hr,1000,10,1315,mg gas/m2/hr,13050,3000,4.5–19.3 g C/m2,0.3,24,NA,NA,NA,"Sponseller, 2007","Sponseller, R.A., 2007. Precipitation pulses and soil CO2 flux in a Sonoran Desert ecosystem. Global Change Biology 13, 426-436. doi: 10.1111/j.1365-2486.2006.01307.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.879006851617819
19,CO2,Rewetting,Field,NA,NA,"The Sycamore Creek watershed in the Mazatzal Mountains, Phoenix, AZ",NA,NA,NA,Desert (interplant space),NA,NA,450,Sandy loam,1.5,2.9,0.08,NA,NA,"0.2, 0.5, 1.0, 2.0, and 4.0cm",NA,NA,NA,0.007,2.1% to 7.9%,NA,0.01 g CO2 m-2 h-1,0.09 to 0.69   g CO2 m-2 h-1,0.01,0.39,g CO2/m2/hr,1000,10,390,mg gas/m2/hr,3800,3000,2.0–4.1 g C/m2,0.3,24,NA,NA,NA,"Sponseller, 2007","Sponseller, R.A., 2007. Precipitation pulses and soil CO2 flux in a Sonoran Desert ecosystem. Global Change Biology 13, 426-436. doi: 10.1111/j.1365-2486.2006.01307.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6635616461296463
21,CO2,Rewetting,Field,NA,NA,"Mount Norikura in Gifu Prefecture, Japan",36.133,137.433,1430,Forest,Quercus crispula Blume and Betula ermanii Cham,6.1,2175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380 mg CO2 m_2 h_1,560 mg CO2 m_2 h_1,380,560,mg CO2/m2/hr,1,380,560,mg gas/m2/hr,47,47,NA,NA,6,NA,NA,NA,"Lee et al., 2002","Lee, M.S., Nakane, K., Nakatsubo, T., Mo, W.H., Koizumi, H., 2002. Effects of rainfall events on soil CO2 flux in a cool temperate deciduous broad-leaved forest. Ecological Research 17, 401-409. doi: 10.1046/j.1440-1703.2002.00498.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38776553100876343
25,CO2,Rewetting,Field,Rainfall exclusion,NA,"Zurich, Switzerland",47.2,8.4,NA,Grassland,"Grass-clover mixture, dominated by perennial grasses (e.g. Lolium spp.) and legumes (e.g. Trifolium spp.)",10,1232,"Moderately acidic loamy Cambisols; 28.6% sand, 48.8% silt, 22.6% clay",1,3.1,0.34,5.3,5.3,NA,NA,NA,NA,NA,NA,NA,4 umol m-2 s-1,18 umol m-2 s-1,4,18,µmol CO2/m2/s,158.4,633.6,2851.2,mg gas/m2/hr,350,350,NA,NA,NA,NA,NA,NA,"Joos et al., 2010","Joos, O., Hagedorn, F., Heim, A., Gilgen, A.K., Schmidt, M.W.I., Siegwolf, R.T.W., Buchmann, N., 2010. Summer drought reduces total and litter-derived soil CO2 effluxes in temperate grassland - clues from a 13C litter addition experiment. Biogeosciences 7, 1031-1041.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.504077396776274
26,CO2,Rewetting,Field,NA,NA,southern Finland,61.85,24.283,181,Forest,Scots pine,NA,NA,Haplic podzol,NA,3.89,0.12,NA,NA,NA,NA,NA,NA,0.15,0.37,0.22,0.4 gm_2 h_1*,0.8 gm_2 h_1*,0.4,0.8,g CO2/m2/hr,1000,400,800,mg gas/m2/hr,100,100,NA,NA,NA,NA,NA,NA,"Pumpanen et al., 2003","Pumpanen, J., Ilvesniemi, H., Peramaki, M., Hari, P., 2003. Seasonal patterns of soil CO2 efflux and soil air CO2 concentration in a Scots pine forest: comparison of two chamber techniques. Global Change Biology 9, 371-382. doi: 10.1046/j.1365-2486.2003.00588.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6931471805599453
28,CO2,Rewetting,Field,NA,NA,"Mount Norikura in Gifu Prefecture, Japan",36.133,137.433,1430,Forest,Quercus crispula Blume and Betula ermanii Cham,6.1,2175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380 mg CO2 m_2 h_1,560 mg CO2 m_2 h_1,380,560,mg CO2/m2/hr,1,380,560,mg gas/m2/hr,47,47,NA,NA,NA,NA,NA,NA,"Lee et al., 2002","Lee, M.S., Nakane, K., Nakatsubo, T., Mo, W.H., Koizumi, H., 2002. Effects of rainfall events on soil CO2 flux in a cool temperate deciduous broad-leaved forest. Ecological Research 17, 401-409. doi: 10.1046/j.1440-1703.2002.00498.x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38776553100876343
33,CO2,Rewetting,Field,NA,NA,"Gwangneung Experimental Forest watershed, Kyung-Gi Province, South Korea",37.75,127.15,NA,Forest,Deciduous forest,NA,NA,Sandy loam,NA,6.2,0.23,4.2,4.2 +/- 0.1,13.7,NA,NA,NA,0.17,0.36,19,0.44 +/- 0.1 g CO2 m-2 h-1,0.70 +/- 0.14 g CO2 m-2 h-1,0.44,0.7,g CO2/m2/hr,1000,440,700,mg gas/m2/hr,59,64,NA,10,96,NA,NA,NA,"Kim et al., 2010","Kim, D.-G., Mu, S., Kang, S., Lee, D., 2010. Factors controlling soil CO2 effluxes and the effects of rewetting on effluxes in adjacent deciduous, coniferous, and mixed forests in Korea. Soil Biology and Biochemistry 42, 576-585. doi:10.1016/j.soilbio.2009.12.005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4643056081310978
