anaerobe_axis,metric,value,domain
1.4516240720143332,Soil C,3.5645,Capacity
1.4516240720143332,Bulk density,1.2695855704646402,Connectivity
1.4516240720143332,Root density,9.784300242100935e-4,Connectivity
1.4516240720143332,SRO minerals,75.4687210342319,Capacity
1.4516240720143332,Surface area,14.79,Capacity
1.4516240720143332,Aggregate stability,59.7269624573377,Connectivity
-1.438651263,Soil C,1.92899999999999,Capacity
-1.438651263,Bulk density,1.39947862391043,Connectivity
-1.438651263,Root density,0.00348176050065952,Connectivity
-1.438651263,SRO minerals,66.83449988606436,Capacity
-1.438651263,Surface area,18.408,Capacity
-1.438651263,Aggregate stability,59.4202898550723,Connectivity
-1.110133115,Soil C,2.05,Capacity
-1.110133115,Bulk density,1.40210323412691,Connectivity
-1.110133115,Root density,0.00175982985799388,Connectivity
-1.110133115,SRO minerals,67.78885253212525,Capacity
-1.110133115,Surface area,22.711,Capacity
-1.110133115,Aggregate stability,60.7902735562309,Connectivity
-0.721669346,Soil C,2.053,Capacity
-0.721669346,Bulk density,1.405206619863095,Connectivity
-0.721669346,Root density,2.3129916216031436e-4,Connectivity
-0.721669346,SRO minerals,76.73861097216644,Capacity
-0.721669346,Surface area,18.4,Capacity
-0.721669346,Aggregate stability,64.0000000000004,Connectivity
-1.158633941,Soil C,1.681,Capacity
-1.158633941,Bulk density,1.431674288361465,Connectivity
-1.158633941,Root density,0.00280499365938358,Connectivity
-1.158633941,SRO minerals,64.61361760865363,Capacity
-1.158633941,Surface area,15.546,Capacity
-1.158633941,Aggregate stability,62.6780626780625,Connectivity
-0.690253286,Soil C,2.058292221988,Capacity
-0.690253286,Bulk density,1.3610275473828,Connectivity
-0.690253286,Root density,0.00390592751298748,Connectivity
-0.690253286,SRO minerals,72.61492256411138,Capacity
-0.690253286,Surface area,23.065,Capacity
-0.690253286,Aggregate stability,69.2307692307695,Connectivity
0.3815573887048859,Soil C,1.947,Capacity
0.3815573887048859,Bulk density,1.3928541645667551,Connectivity
0.3815573887048859,Root density,0.00211626240318296,Connectivity
0.3815573887048859,SRO minerals,72.5475299993769,Capacity
0.3815573887048859,Surface area,19.642,Capacity
0.3815573887048859,Aggregate stability,70.6948640483384,Connectivity
2.414985593149836,Soil C,2.894,Capacity
2.414985593149836,Bulk density,1.333112605993225,Connectivity
2.414985593149836,Root density,6.435100501865591e-5,Connectivity
2.414985593149836,SRO minerals,87.98633826547544,Capacity
2.414985593149836,Surface area,22.243,Capacity
2.414985593149836,Aggregate stability,69.0666666666668,Connectivity
1.8510168959739617,Soil C,3.456,Capacity
1.8510168959739617,Bulk density,1.363298415315715,Connectivity
1.8510168959739617,Root density,1.1882274400881832e-4,Connectivity
1.8510168959739617,SRO minerals,80.06502392079128,Capacity
1.8510168959739617,Surface area,21.571,Capacity
1.8510168959739617,Aggregate stability,62.9179331306992,Connectivity
0.5841905414540055,Soil C,2.33399999999999,Capacity
0.5841905414540055,Bulk density,1.33908526011765,Connectivity
0.5841905414540055,Root density,0.00157203819680603,Connectivity
0.5841905414540055,SRO minerals,74.45124505374943,Capacity
0.5841905414540055,Surface area,22.947,Capacity
0.5841905414540055,Aggregate stability,68.9655172413794,Connectivity
-1.568107483,Soil C,1.9055,Capacity
-1.568107483,Bulk density,1.400627320474915,Connectivity
-1.568107483,Root density,8.752520581744594e-4,Connectivity
-1.568107483,SRO minerals,73.70624496544247,Capacity
