electrode,phase,run_id,n_obs,start_eh,end_eh,delta_eh
soil_redox1,Freezing,1,56,120.717,84.9767,-35.740300000000005
soil_redox1,Freezing,3,50,-1.70299,47.7164,49.41939
soil_redox1,Freezing,5,49,-62.492,-37.049,25.442999999999998
soil_redox1,Freezing,7,48,-127.961,-80.2516,47.7094
soil_redox1,Freezing,9,49,-167.609,-103.445,64.16400000000002
soil_redox1,Freezing,11,48,-195.772,-137.667,58.10499999999999
soil_redox1,Freezing,13,48,-212.524,-174.444,38.08000000000001
soil_redox1,Freezing,15,48,-228.888,-190.834,38.054
soil_redox1,Freezing,17,48,-245.373,-175.274,70.09899999999999
soil_redox1,Freezing,19,48,-240.892,-184.854,56.03799999999998
soil_redox1,Freezing,21,46,-233.739,-177.186,56.553
soil_redox1,Freezing,23,45,-227.105,-179.998,47.107
soil_redox1,Freezing,25,48,-238.359,-174.856,63.503000000000014
soil_redox1,Freezing,27,47,-220.917,-162.662,58.254999999999995
soil_redox1,Freezing,29,46,-223.628,-167.908,55.72
soil_redox1,Freezing,31,46,-196.521,-156.157,40.363999999999976
soil_redox1,Freezing,33,46,-219.913,-187.079,32.834
soil_redox1,Thawing,2,104,82.8758,-0.486637,-83.362437
soil_redox1,Thawing,4,104,47.8957,-60.2577,-108.1534
soil_redox1,Thawing,6,107,-35.2599,-127.294,-92.0341
soil_redox1,Thawing,8,101,-78.4571,-165.786,-87.3289
soil_redox1,Thawing,10,99,-102.235,-193.551,-91.31599999999999
soil_redox1,Thawing,12,100,-135.601,-210.59,-74.989
soil_redox1,Thawing,14,101,-172.818,-228.445,-55.62699999999998
soil_redox1,Thawing,16,98,-188.83,-244.036,-55.20599999999999
soil_redox1,Thawing,18,101,-174.511,-239.781,-65.27000000000001
soil_redox1,Thawing,20,99,-184.648,-232.062,-47.414000000000016
soil_redox1,Thawing,22,97,-173.637,-224.483,-50.846000000000004
soil_redox1,Thawing,24,17,-176.898,-238.084,-61.18600000000001
soil_redox1,Thawing,26,95,-173.576,-218.856,-45.28
soil_redox1,Thawing,28,93,-159.855,-220.893,-61.03800000000001
soil_redox1,Thawing,30,88,-170.552,-198.011,-27.459000000000003
soil_redox1,Thawing,32,88,-153.585,-216.973,-63.388000000000005
soil_redox1,Thawing,34,83,-185.487,-196.34,-10.853000000000009
soil_redox2,Freezing,1,56,-339.797,-350.15,-10.352999999999952
soil_redox2,Freezing,3,50,-241.882,-345.443,-103.56099999999998
soil_redox2,Freezing,5,49,-221.796,-225.275,-3.4790000000000134
soil_redox2,Freezing,7,48,-214,-276.149,-62.149
soil_redox2,Freezing,9,49,-230.692,-311.762,-81.07
soil_redox2,Freezing,11,48,-334.207,-249.77,84.43699999999998
soil_redox2,Freezing,13,48,-243.073,-168.715,74.358
soil_redox2,Freezing,15,48,-273.199,-200.793,72.406
soil_redox2,Freezing,17,48,-304.802,-233.997,70.805
soil_redox2,Freezing,19,48,-300.09,-277.725,22.364999999999952
soil_redox2,Freezing,21,46,-297.445,-246.024,51.42099999999999
soil_redox2,Freezing,23,45,-297.271,-249.368,47.90300000000002
soil_redox2,Freezing,25,48,-292.082,-294.549,-2.4669999999999845
soil_redox2,Freezing,27,47,-292.501,-224.308,68.19299999999998
soil_redox2,Freezing,29,46,-279.368,-239.104,40.26399999999998
soil_redox2,Freezing,31,46,-273.675,-224.827,48.84800000000001
soil_redox2,Freezing,33,46,-274.694,-221.577,53.11700000000002
soil_redox2,Thawing,2,104,-357.042,-242.028,115.01399999999998
soil_redox2,Thawing,4,104,-334.06,-221.362,112.69800000000001
soil_redox2,Thawing,6,107,-222.475,-214.42,8.055000000000007
soil_redox2,Thawing,8,101,-284.474,-231.213,53.260999999999996
soil_redox2,Thawing,10,99,-315.688,-336.303,-20.61500000000001
soil_redox2,Thawing,12,100,-248.865,-240.836,8.028999999999996
soil_redox2,Thawing,14,101,-169.593,-272.923,-103.33000000000001
soil_redox2,Thawing,16,98,-200.039,-303.57,-103.531
soil_redox2,Thawing,18,101,-235.315,-299.984,-64.66899999999998
soil_redox2,Thawing,20,99,-271.766,-296.972,-25.20599999999996
soil_redox2,Thawing,22,97,-245.414,-296.518,-51.103999999999985
soil_redox2,Thawing,24,17,-247.91,-293.135,-45.224999999999994
soil_redox2,Thawing,26,95,-292.607,-292.106,0.5010000000000332
soil_redox2,Thawing,28,93,-220.32,-278.934,-58.61400000000003
soil_redox2,Thawing,30,88,-235.258,-273.519,-38.260999999999996
soil_redox2,Thawing,32,88,-222.817,-274.399,-51.581999999999994
soil_redox2,Thawing,34,83,-220.928,-270.691,-49.76299999999998
soil_redox3,Freezing,1,56,-27.761,-43.2045,-15.443500000000004
soil_redox3,Freezing,3,50,-22.0397,-12.3229,9.7168
soil_redox3,Freezing,5,49,-34.8774,-14.1751,20.7023
soil_redox3,Freezing,7,48,-64.2138,-35.0049,29.208900000000007
soil_redox3,Freezing,9,49,-94.1795,-56.0777,38.101800000000004
soil_redox3,Freezing,11,48,-123.288,-70.9912,52.29679999999999
soil_redox3,Freezing,13,48,-141.459,-137.273,4.186000000000007
soil_redox3,Freezing,15,48,-155.361,-262.456,-107.09500000000003
soil_redox3,Freezing,17,48,-258.231,-198.383,59.847999999999985
soil_redox3,Freezing,19,48,-235.701,-200.638,35.06299999999999
soil_redox3,Freezing,21,46,-212.38,-216.237,-3.8569999999999993
soil_redox3,Freezing,23,45,-221.97,-185.753,36.21700000000001
soil_redox3,Freezing,25,48,-376.25,-203.023,173.227
soil_redox3,Freezing,27,47,-239.665,-165.878,73.787
soil_redox3,Freezing,29,46,-235.45,-191.094,44.355999999999995
soil_redox3,Freezing,31,46,-235.63,-194.837,40.793000000000006
soil_redox3,Freezing,33,46,-235.232,-182.879,52.35300000000001
soil_redox3,Thawing,2,104,-67.292,-19.9742,47.317800000000005
soil_redox3,Thawing,4,104,-9.76875,-33.8057,-24.03695
soil_redox3,Thawing,6,107,-13.0394,-63.2253,-50.1859
soil_redox3,Thawing,8,101,-33.6732,-92.1938,-58.520599999999995
soil_redox3,Thawing,10,99,-55.2195,-122.108,-66.88850000000001
soil_redox3,Thawing,12,100,-70.0392,-138.727,-68.68780000000001
soil_redox3,Thawing,14,101,-134.663,-155.305,-20.641999999999996
soil_redox3,Thawing,16,98,-270.204,-258.917,11.287000000000035
soil_redox3,Thawing,18,101,-197.71,-235.156,-37.446
soil_redox3,Thawing,20,99,-199.525,-212.57,-13.044999999999987
soil_redox3,Thawing,22,97,-215.525,-222.981,-7.455999999999989
soil_redox3,Thawing,24,17,-184.708,-428.8,-244.092
soil_redox3,Thawing,26,95,-202.635,-239.473,-36.83800000000002
soil_redox3,Thawing,28,93,-163.855,-234.687,-70.83200000000002
soil_redox3,Thawing,30,88,-189.994,-234.937,-44.94300000000001
soil_redox3,Thawing,32,88,-192.636,-234.175,-41.539000000000016
soil_redox3,Thawing,34,83,-179.751,-220.685,-40.934
