soil,time,treatment,value,error
Sandy soil,0.5,Original soil,4.01,0.25
Sandy soil,1,Original soil,4.67,0.55
Sandy soil,3,Original soil,4.52,0.34
Sandy soil,6,Original soil,4.45,0.23
Sandy soil,12,Original soil,4.09,0.46
Sandy soil,24,Original soil,5.29,0.22
Sandy soil,36,Original soil,6.06,0.4
Sandy soil,48,Original soil,6.87,0.38
Sandy soil,0.5,Sterilized soil,3.77,0.12
Sandy soil,1,Sterilized soil,4.54,0.23
Sandy soil,3,Sterilized soil,4.32,0.16
Sandy soil,6,Sterilized soil,3.51,0.16
Sandy soil,12,Sterilized soil,3.19,0.18
Sandy soil,24,Sterilized soil,2.45,0.21
Sandy soil,36,Sterilized soil,1.92,0.15
Sandy soil,48,Sterilized soil,1.67,0.28
Sandy soil,0.5,Soil with TBA,1.63,0.07
Sandy soil,1,Soil with TBA,2.31,0.15
Sandy soil,3,Soil with TBA,2.95,0.28
Sandy soil,6,Soil with TBA,2.86,0.26
Sandy soil,12,Soil with TBA,3.12,0.32
Sandy soil,24,Soil with TBA,4.44,0.26
Sandy soil,36,Soil with TBA,5.17,0.34
Sandy soil,48,Soil with TBA,5.86,0.31
Paddy soil,0.5,Original soil,18.41,0.46
Paddy soil,1,Original soil,10.17,0.79
Paddy soil,3,Original soil,4.94,0.35
Paddy soil,6,Original soil,3.49,0.11
Paddy soil,12,Original soil,3.96,0.33
Paddy soil,24,Original soil,5.7,0.75
Paddy soil,36,Original soil,5.62,0.16
Paddy soil,48,Original soil,5.87,0.81
Paddy soil,0.5,Sterilized soil,7.85,1.58
Paddy soil,1,Sterilized soil,5.05,0.05
Paddy soil,3,Sterilized soil,1.95,0.45
Paddy soil,6,Sterilized soil,1.16,0.33
Paddy soil,12,Sterilized soil,0.66,0.08
Paddy soil,24,Sterilized soil,0.7,0.14
Paddy soil,36,Sterilized soil,1.08,0.05
Paddy soil,48,Sterilized soil,0.92,0.04
Paddy soil,0.5,Soil with TBA,17.58,0.04
Paddy soil,1,Soil with TBA,9.63,0.2
Paddy soil,3,Soil with TBA,4.26,0.49
Paddy soil,6,Soil with TBA,3.28,0.24
Paddy soil,12,Soil with TBA,3.59,1.37
Paddy soil,24,Soil with TBA,5.15,0.72
Paddy soil,36,Soil with TBA,5.24,1.05
Paddy soil,48,Soil with TBA,5.49,0.82
