soil,time,metric,value,error,baseline,index
Sandy soil,0,H2O2,483.88,56.64,483.88,1
Sandy soil,0.5,H2O2,609.71,17.85,483.88,1.2600438125154998
Sandy soil,1,H2O2,767.16,92.27,483.88,1.5854344052244358
Sandy soil,3,H2O2,760.63,131.09,483.88,1.5719393237992891
Sandy soil,6,H2O2,564.88,135.39,483.88,1.1673968752583286
Sandy soil,9,H2O2,419.37,50.71,483.88,0.8666818219393239
Sandy soil,12,H2O2,469.98,94.23,483.88,0.9712738695544351
Sandy soil,24,H2O2,467.89,110.99,483.88,0.9669546168471521
Sandy soil,48,H2O2,485.26,52.16,483.88,1.0028519467636603
Paddy soil,0,H2O2,502.54,45.25,502.54,1
Paddy soil,0.5,H2O2,1094.68,52.48,502.54,2.1782942651331236
Paddy soil,1,H2O2,850,119.74,502.54,1.6914076491423569
Paddy soil,3,H2O2,792.37,111.71,502.54,1.576730210530505
Paddy soil,6,H2O2,844.1,12.44,502.54,1.6796672901659568
Paddy soil,9,H2O2,790.53,65.43,502.54,1.5730688104429498
Paddy soil,12,H2O2,914.67,114.02,502.54,1.8200939228718112
Paddy soil,24,H2O2,795.05,138.18,502.54,1.5820631193536832
Paddy soil,48,H2O2,685.21,85.25,502.54,1.363493453257452
Sandy soil,0,OH radical,1.62,0.13,1.62,1
Sandy soil,0.25,OH radical,5.13,0.27,1.62,3.1666666666666665
Sandy soil,0.5,OH radical,5.08,0.69,1.62,3.135802469135802
Sandy soil,1,OH radical,4.67,0.27,1.62,2.882716049382716
Sandy soil,3,OH radical,4.57,0.28,1.62,2.8209876543209877
Sandy soil,6,OH radical,3.68,0.25,1.62,2.271604938271605
Sandy soil,9,OH radical,3.21,0.23,1.62,1.9814814814814814
Sandy soil,12,OH radical,3.19,0.05,1.62,1.9691358024691357
Sandy soil,24,OH radical,2.68,0.43,1.62,1.654320987654321
Sandy soil,48,OH radical,2.45,0.36,1.62,1.5123456790123457
Paddy soil,0,OH radical,4.27,0.42,4.27,1
Paddy soil,0.25,OH radical,5.21,0.52,4.27,1.2201405152224825
Paddy soil,0.5,OH radical,5.98,0.57,4.27,1.4004683840749417
Paddy soil,1,OH radical,5.95,0.41,4.27,1.3934426229508199
Paddy soil,3,OH radical,6.45,0.37,4.27,1.5105386416861828
Paddy soil,6,OH radical,5.49,0.12,4.27,1.2857142857142858
Paddy soil,9,OH radical,5.7,0.28,4.27,1.3348946135831383
Paddy soil,12,OH radical,5.35,0.11,4.27,1.2529274004683841
Paddy soil,24,OH radical,5.02,0.23,4.27,1.1756440281030445
Paddy soil,48,OH radical,4.69,0.39,4.27,1.098360655737705
